,date,cases,order_code,Face_Masks_Required_in_Public,mean_cases,daily_confirmed_cases,daily_increase_rate
179,2020-07-19,3517,1.0,Yes,3313.285714285714,87,0.011911363029593575
180,2020-07-20,3604,1.0,Yes,3385.0,82,0.011226801935938772
181,2020-07-21,3686,1.0,Yes,3459.0,100,0.013691221873096064
182,2020-07-22,3786,1.0,Yes,3540.4285714285716,78,0.01067915306101493
183,2020-07-23,3864,1.0,Yes,3620.1428571428573,64,0.00876238199878148
184,2020-07-24,3928,1.0,Yes,3694.5714285714284,105,0.014375782966750869
185,2020-07-25,4033,1.0,Yes,3774.0,95,0.013006660779441261
186,2020-07-26,4128,1.0,Yes,3861.285714285714,22,0.0030120688120811342
187,2020-07-27,4150,1.0,Yes,3939.285714285714,115,0.015744905154060476
188,2020-07-28,4265,1.0,Yes,4022.0,62,0.008488557561319561
189,2020-07-29,4327,1.0,Yes,4099.285714285715,54,0.007393259811471875
190,2020-07-30,4381,1.0,Yes,4173.142857142857,92,0.012595924123248378
191,2020-07-31,4473,1.0,Yes,4251.0,68,0.009310030873705324
192,2020-08-01,4541,1.0,Yes,4323.571428571428,43,0.005887225405431308
193,2020-08-02,4584,1.0,Yes,4388.714285714285,41,0.005613400967969386
194,2020-08-03,4625,1.0,Yes,4456.571428571428,38,0.005202664311776504
195,2020-08-04,4663,1.0,Yes,4513.428571428572,91,0.012459011904517418
196,2020-08-05,4754,1.0,Yes,4574.428571428572,78,0.01067915306101493
197,2020-08-06,4832,1.0,Yes,4638.857142857143,79,0.010816065279745891
198,2020-08-07,4911,1.0,Yes,4701.428571428572,47,0.00643487428035515
199,2020-08-08,4958,1.0,Yes,4761.0,48,0.006571786499086111
200,2020-08-09,5006,1.0,Yes,4821.285714285715,128,0.01752476399756296
201,2020-08-10,5134,1.0,Yes,4894.0,49,0.006708698717817071
202,2020-08-11,5183,1.0,Yes,4968.285714285715,46,0.006297962061624189
203,2020-08-12,5229,1.0,Yes,5036.142857142857,105,0.014375782966750869
204,2020-08-13,5334,1.0,Yes,5107.857142857143,55,0.007530172030202835
205,2020-08-14,5389,1.0,Yes,5176.142857142857,49,0.006708698717817071
206,2020-08-15,5438,1.0,Yes,5244.714285714285,40,0.0054764887492384255
207,2020-08-16,5478,1.0,Yes,5312.142857142857,31,0.0042442787806597805
208,2020-08-17,5509,1.0,Yes,5365.714285714285,25,0.003422805468274016
209,2020-08-18,5534,1.0,Yes,5415.857142857143,33,0.004518103218121701
210,2020-08-19,5567,1.0,Yes,5464.142857142857,55,0.007530172030202835
211,2020-08-20,5622,1.0,Yes,5505.285714285715,0,0.0
212,2020-08-21,5622,1.0,Yes,5538.571428571428,73,0.009994591967360127
213,2020-08-22,5695,1.0,Yes,5575.285714285715,28,0.003833542124466898
214,2020-08-23,5723,1.0,Yes,5610.285714285715,24,0.0032858932495430553
215,2020-08-24,5747,1.0,Yes,5644.285714285715,59,0.008077820905126678
216,2020-08-25,5806,1.0,Yes,5683.142857142857,39,0.005339576530507465
217,2020-08-26,5845,1.0,Yes,5722.857142857143,53,0.007256347592740914
218,2020-08-27,5898,1.0,Yes,5762.285714285715,50,0.006845610936548032
219,2020-08-28,5948,1.0,Yes,5808.857142857143,40,0.0054764887492384255
220,2020-08-29,5988,1.0,Yes,5850.714285714285,19,0.002601332155888252
221,2020-08-30,6007,1.0,Yes,5891.285714285715,11,0.0015060344060405671
222,2020-08-31,6018,1.0,Yes,5930.0,30,0.00410736656192882
223,2020-09-01,6048,1.0,Yes,5964.571428571428,22,0.0030120688120811342
224,2020-09-02,6070,1.0,Yes,5996.714285714285,28,0.003833542124466898
225,2020-09-03,6098,1.0,Yes,6025.285714285715,0,0.0
226,2020-09-04,6098,1.0,Yes,6046.714285714285,97,0.013280485216903183
227,2020-09-05,6195,1.0,Yes,6076.285714285715,20,0.0027382443746192127
228,2020-09-06,6215,1.0,Yes,6106.0,26,0.0035597176870049768
229,2020-09-07,6241,1.0,Yes,6137.857142857143,0,0.0
230,2020-09-08,6241,1.0,Yes,6165.428571428572,23,0.0031489810308120945
231,2020-09-09,6264,1.0,Yes,6193.142857142857,20,0.0027382443746192127
232,2020-09-10,6284,1.0,Yes,6219.714285714285,23,0.0031489810308120945
233,2020-09-11,6307,1.0,Yes,6249.571428571428,39,0.005339576530507465
234,2020-09-12,6346,1.0,Yes,6271.142857142857,32,0.00438119099939074
235,2020-09-13,6378,1.0,Yes,6294.428571428572,28,0.003833542124466898
236,2020-09-14,6406,1.0,Yes,6318.0,37,0.005065752093045543
237,2020-09-15,6443,1.0,Yes,6346.857142857143,65,0.008899294217512442
238,2020-09-16,6508,1.0,Yes,6381.714285714285,38,0.005202664311776504
239,2020-09-17,6546,1.0,Yes,6419.142857142857,35,0.004791927655583623
240,2020-09-18,6581,1.0,Yes,6458.285714285715,61,0.0083516453425886
241,2020-09-19,6642,1.0,Yes,6500.571428571428,21,0.0028751565933501735
242,2020-09-20,6663,1.0,Yes,6541.285714285715,24,0.0032858932495430553
243,2020-09-21,6687,1.0,Yes,6581.428571428572,25,0.003422805468274016
244,2020-09-22,6712,1.0,Yes,6619.857142857143,31,0.0042442787806597805
245,2020-09-23,6743,1.0,Yes,6653.428571428572,17,0.002327507718426331
246,2020-09-24,6760,1.0,Yes,6684.0,40,0.0054764887492384255
247,2020-09-25,6800,1.0,Yes,6715.285714285715,45,0.006161049842893228
248,2020-09-26,6845,1.0,Yes,6744.285714285715,26,0.0035597176870049768
249,2020-09-27,6871,1.0,Yes,6774.0,21,0.0028751565933501735
250,2020-09-28,6892,1.0,Yes,6803.285714285715,33,0.004518103218121701
251,2020-09-29,6925,1.0,Yes,6833.714285714285,37,0.005065752093045543
252,2020-09-30,6962,1.0,Yes,6865.0,65,0.008899294217512442
253,2020-10-01,7027,1.0,Yes,6903.142857142857,47,0.00643487428035515
254,2020-10-02,7074,1.0,Yes,6942.285714285715,64,0.00876238199878148
255,2020-10-03,7138,1.0,Yes,6984.142857142857,49,0.006708698717817071
256,2020-10-04,7187,1.0,Yes,7029.285714285715,49,0.006708698717817071
257,2020-10-05,7236,1.0,Yes,7078.428571428572,48,0.006571786499086111
258,2020-10-06,7284,1.0,Yes,7129.714285714285,58,0.007940908686395718
259,2020-10-07,7342,1.0,Yes,7184.0,117,0.016018729591522392
260,2020-10-08,7459,1.0,Yes,7245.714285714285,90,0.012322099685786457
261,2020-10-09,7549,1.0,Yes,7313.571428571428,83,0.011363714154669734
262,2020-10-10,7632,1.0,Yes,7384.142857142857,74,0.010131504186091086
263,2020-10-11,7706,1.0,Yes,7458.285714285715,36,0.004928839874314583
264,2020-10-12,7742,1.0,Yes,7530.571428571428,103,0.014101958529288947
265,2020-10-13,7845,1.0,Yes,7610.714285714285,63,0.008625469780050521
266,2020-10-14,7908,1.0,Yes,7691.571428571428,156,0.02135830612202986
267,2020-10-15,8064,1.0,Yes,7778.0,129,0.01766167621629392
268,2020-10-16,8193,1.0,Yes,7870.0,160,0.021905954996953702
269,2020-10-17,8353,1.0,Yes,7973.0,106,0.014512695185481829
270,2020-10-18,8459,1.0,Yes,8080.571428571428,123,0.01684020290390816
271,2020-10-19,8582,1.0,Yes,8200.57142857143,182,0.024918023809034837
272,2020-10-20,8764,1.0,Yes,8331.857142857143,239,0.03272202027669959
273,2020-10-21,9003,1.0,Yes,8488.285714285714,169,0.02313816496553235
274,2020-10-22,9172,1.0,Yes,8646.57142857143,177,0.024233462715380034
275,2020-10-23,9349,1.0,Yes,8811.714285714286,243,0.03326966915162344
276,2020-10-24,9592,1.0,Yes,8988.714285714286,147,0.020126096153451213
277,2020-10-25,9739,1.0,Yes,9171.57142857143,159,0.021769042778222742
278,2020-10-26,9898,1.0,Yes,9359.57142857143,158,0.021632130559491782
279,2020-10-27,10056,1.0,Yes,9544.142857142857,103,0.014101958529288947
280,2020-10-28,10159,1.0,Yes,9709.285714285714,252,0.034501879120202084
281,2020-10-29,10411,1.0,Yes,9886.285714285714,201,0.027519355964923088
282,2020-10-30,10612,1.0,Yes,10066.714285714286,292,0.039978367869440506
283,2020-10-31,10904,1.0,Yes,10254.142857142857,310,0.0424427878065978
284,2020-11-01,11214,1.0,Yes,10464.857142857143,182,0.024918023809034837
285,2020-11-02,11396,1.0,Yes,10678.857142857143,453,0.062021235085125165
286,2020-11-03,11849,1.0,Yes,10935.0,693,0.09488016758055572
287,2020-11-04,12542,1.0,Yes,11275.42857142857,383,0.052437379773957925
288,2020-11-05,12925,1.0,Yes,11634.57142857143,379,0.051889730899034085
289,2020-11-06,13304,1.0,Yes,12019.142857142857,451,0.06174741064766325
290,2020-11-07,13755,1.0,Yes,12426.42857142857,307,0.04203205115040492
291,2020-11-08,14062,1.0,Yes,12833.285714285714,504,0.06900375824040417
292,2020-11-09,14566,1.0,Yes,13286.142857142857,671,0.09186809876847458
293,2020-11-10,15237,1.0,Yes,13770.142857142857,429,0.05873534183558212
294,2020-11-11,15666,1.0,Yes,14216.42857142857,570,0.07803996467664756
295,2020-11-12,16236,1.0,Yes,14689.42857142857,891,0.12198878688928594
296,2020-11-13,17127,1.0,Yes,15235.57142857143,652,0.08926676661258634
297,2020-11-14,17779,1.0,Yes,15810.42857142857,391,0.05353267752380561
298,2020-11-15,18170,1.0,Yes,16397.285714285714,523,0.07160509039629241
299,2020-11-16,18693,1.0,Yes,16986.85714285714,525,0.07187891483375433
300,2020-11-17,19218,1.0,Yes,17555.571428571428,631,0.08639161001923616
301,2020-11-18,19849,1.0,Yes,18153.14285714286,552,0.07557554473949028
302,2020-11-19,20401,1.0,Yes,18748.14285714286,907,0.12417938238898131
303,2020-11-20,21308,1.0,Yes,19345.428571428572,731,0.10008283189233222
304,2020-11-21,22039,1.0,Yes,19954.0,521,0.0713312659588305
305,2020-11-22,22560,1.0,Yes,20581.14285714286,470,0.0643487428035515
306,2020-11-23,23030,1.0,Yes,21200.714285714286,486,0.06653933830324688
307,2020-11-24,23516,1.0,Yes,21814.714285714286,531,0.0727003881461401
308,2020-11-25,24047,1.0,Yes,22414.428571428572,665,0.09104662545608883
309,2020-11-26,24712,1.0,Yes,23030.285714285714,713,0.09761841195517494
